thread_id,comment,likes_count,is_reply
7a6b954359e5e73ff74d51b1dc84b4e1,"Bapak Menkeu yang baru, tolong jangan sombong2 dulu. Buktikan kemampuan prioritas utama.",2200,False
7a6b954359e5e73ff74d51b1dc84b4e1,Pesimis salah..optimis salah,122,True
7a6b954359e5e73ff74d51b1dc84b4e1,​ @Cherrisekiss (https://www.youtube.com/channel/UCuIZodbOT6OeHY-C48F-o3A) serba salah hidup di Konoha bro 😁,72,True
7a6b954359e5e73ff74d51b1dc84b4e1,"​ @Cherrisekiss (https://www.youtube.com/channel/UCuIZodbOT6OeHY-C48F-o3A) soalnya ini di indonesia,kemungkinan terbaiknya sulit,klo kemungkinan terburuknya udah jelas 😂",68,True
7a6b954359e5e73ff74d51b1dc84b4e1,Ilmunya saja ga nyambung dengan bidangnya. 😂 😅 😂 😅 😂 😅,49,True
7a6b954359e5e73ff74d51b1dc84b4e1,"kok sprt besar suara dulu,jangan"" nanti...?????",48,True
7a6b954359e5e73ff74d51b1dc84b4e1,Mantab...Mentri baru sudah tau cara memperbaiki ekonomi indonesia..,28,True
7a6b954359e5e73ff74d51b1dc84b4e1,​@Bolangcahsragentinaasal bapak senang. Aman pokoknya. 😂 😅 😂 😅 😂 😅,6,True
7a6b954359e5e73ff74d51b1dc84b4e1,​@Bolangcahsragentinananti ky Noel 😂 😂 😂,6,True
7a6b954359e5e73ff74d51b1dc84b4e1,Buktikan korupsi nya aja.. Coba di lihat permainannya naikan pajak besar2an.. hahahaha,8,True
7a6b954359e5e73ff74d51b1dc84b4e1,"Takut kalo sombong hasilnya nol dah,mending kerja dulu baru diapresiasi rakyat",62,True
7a6b954359e5e73ff74d51b1dc84b4e1,Men song # songong amat 😂 Smoga lebih baik 🎉,6,True
7a6b954359e5e73ff74d51b1dc84b4e1,bagus ini bro optimis bisa,11,True
7a6b954359e5e73ff74d51b1dc84b4e1,"Energi optimis itu. Masa gitu aja dianggap salah?Pesimis salah,optimis salah. Lama lama lu kaligata,diare nyalahin ke pemerintah",14,True
7a6b954359e5e73ff74d51b1dc84b4e1,Biasa masih baru menjabat semangat 45.,6,True
7a6b954359e5e73ff74d51b1dc84b4e1,@koossarumdanie6687 S7 sekali..udh smbg dlu sblm bs terbukti..tp ternyata dia adlh prnh menjabat di rezim jkwi ktnya 😅 😅,6,True
7a6b954359e5e73ff74d51b1dc84b4e1,Song kotong nyaring bunyinya,8,True
7a6b954359e5e73ff74d51b1dc84b4e1,aku gak yakin dengan bapak ini.sepertinya awal kehancuran,17,True
7a6b954359e5e73ff74d51b1dc84b4e1,Di ganti salah nggak d ganti salah 😂 😂 😂 😂,7,True
7a6b954359e5e73ff74d51b1dc84b4e1,Orang baru dan semangat baru....minimal masih ada secercah harapan. Semoga sukses dan dimudahkan segala urusan pa Yudhi,15,True
7a6b954359e5e73ff74d51b1dc84b4e1,Dari dulu ngomong itu gampang Yah ..... Kita tunggu tanggal mainnya aja deh...,7,True
7a6b954359e5e73ff74d51b1dc84b4e1,"Benar juga, saya kaget juga untuk orang yang baru dilantik 😅 Semoga tidak omon omon",9,True
7a6b954359e5e73ff74d51b1dc84b4e1,Berbaik sangka dulu lah,10,True
