comment,likes_count,is_reply
Kita tgu aja ada gebrakannya tidak... - uang sitaan korupsi larinya kemana hrus diumukan ke publik... Penerapan pajak yg transparan utk apa aja.. - Bumn merugi apa tindakannya.. Dll...,3,True
Serba salah di indo ini,2,True
"Semoga tdk hnya ngomong gede & percaya diri nya sama dgn kerja"" nya nnt..",1,True
@akuanakdesa1986 Coment yang cerdas,1,True
"SAHKAN UNDANG UNDANG PEMBERI SUAP BEBAS DARI PIDANA…!!! Sumber dari Korupsi adalah pejabat negara yang Menerima SUAP dan pejabat negara yang MEMERAS. tidak perlu undang undang perampasan Aset, karena juga akan menjadi Ladang pungli Baru yang lebih mengerikan. Karena hukum bisa di mainkan sesuai kebutuhan memeras. Senjata Ampuh berantas korupsi adalah berikan Rakyat hak mutlak sebagai pengawas Koruptor. Caranya BEBASKAN PEMBERI SUAP dari PIDANA, maka Pejabat pasti takut untuk terima SUAP. Karena Rakyat akan menjebak koruptor lengkap dgn segala bukti-nya. Sehingga tidak saling melindungi dan saling menghilangkan BARANG BUKTI Catatan ; Koruptor tidak bisa Sendirian, kecuali ada yang bisa di SUAP dan Penguasa yang bisa bekerjasama",2,True
@Cherrisekiss maksudnya yang rasional gitu,0,True
"Bicara yg baik2 krn itulah doa dan optimisme. Dijelaskan target dan skema yg ditanyakan wartawan, dibilang sombong. Gak ada yg benar kyknya mnrt anda. Trs maunya yg gmn? Yg kmrin bnyk diprotes, yg skrg dibilang sombong, piye karepe.",1,True
"Haeusnya optimis buat meyakinkan pasar investasi bukannya sombong, kan dia emang di tanya pengalamannya apa hmmm",1,True
"Gak perlu gelar Profesor / doktor klo ujung ujungnya nambah pinjaman/ hutang. Intinya saat ini stop proyek infra structure mercusuar, seprti rencana proyek kereta cepat jakarta-bandung surabaya dan IKN lebih baik stop daripada menggerogoti APBN",1,True
Ini orang hebat mungkin bisa lebih baik dari sri mulyani baguslah Indonesia lebih cerah smg pajaknya di di kurangkan krn negara kita uangnya ruiabulan dolar,0,True
Baru ini menkeu omon omon,0,True
"Baru diangkat biasa ngomong gitu, tp setelah ini dalih sdh disiapkan,",0,True
"Optimis adalah nilai jual supaya seseorang punya gagasan bisa di pakai atau di terapkan di pemerintahan. Contohlah bila jablud punya gaya berbicara yang optimis saat bekerja pasti akan di pakai, ditambah dengan menunjukan segala prestasi-prestasi yang pernah di lewati pasti atasan ada keyakinan penuh kepercayaan & sebaliknya bila pesimis sudah pasti akan di arahkan pulang ke rumah",0,True
ya setidaknya optimis dulu,0,True
Biasanya yang sok sok an awal tu tong kosong nyaring bunyinya,1,True
Lebih baik kerja nyata dulu baru omon omon..rakyat sdh stres isi dompet semakin hari semakin tipis isinya.,2,True
Ntar cm omon omon..,0,True
Iya he kelihatan sombong nada bicaranya,0,True
Beda antara optimis sama sombong,0,True
Belum kerja uda bicara banyaktunggu. Kerja dulu pak...,0,True
"Hmmm kita lihat ,mampu ngk teori anda dengan kenyataan kualitas masyarakat Indonesia",1,True
"Omon2 beranak, ekonomi dunia sedang sulit kok bisa dengan mudah mencapai 8%? 5% aja deh dgn data yg akurat.",0,True
Ini orang sombong banget seh... Blm kerja uda bicara banyak. Kerja dulu pak.jgn anggap sepele,1,True
"Kelihatannya sama gerindra itu, besar mulut doang.",1,True
Serba ajalah kalau ga biar kau aja yang jadi menteri keuangan kita semua harus optimis buat kita semua ini kalai Sri hobby cari hutangan trus beban ke rakyat gara” kebodohan presiden dulu orang udah banyak minus nya kok masih dipakai Bapak presiden melihat masih ada celah di tubuh menteri Sri .,0,True
"Curiga blh jln trs ,tp jng menuduh dl,, cb kita lihat kinerjanya dl,, nt lbh baik apa nggak ,, kl lbh baik nah itu yg kt harapkan,, tp kl sm aja ato lbh parah br kita rame,,di demo lg. Biasanya ngelola uang tuh lbh hemat wanita drpd laki².",0,True
"Tipikal org indo, bapak ini baru bgt dilantik udh dibilang sombong padahal dia kan cuma jawab keraguan publik dan mayoritas kita juga pasti banyak yg belum tau siapa bapak ini jadi ya dia jawab pengalaman2 dia biar publik dan pasar optimis keuangan negara ditangan org kompeten, jangankan dia anak bayi pun udh bisa diliat masa depannya sama org indo berdasar tanda lahir",0,True
"Mentri baru "" saya tahu cara memperbaiki ekonomi....yaitu pajak saya naikkan""",0,True
Semoga aja benar kata2 nya itu harapan rakyat,0,True
Menteri Keuangan kok jadi Menteri Ekonomi?,0,True
Menteri yg kmren Sadis. Kalau yg ini muka pelawak.,0,True
@dedyprasetyo2020,0,True
@Cherrisekiss,0,True
@Miswanto-r3t maunya di ganti siapa. Apa di ganti bro kaka,0,True
Blm blm kok gt,0,True
Itu bukan sombong tp bentuk optimis orang cerdas... Dan kita tunggu aja hasil nya semoga ga lebih parah dari yang lama,1,True
Minimal udah diganti aja gw udah syukur..,1,True
gabisa bedain mana joke mana yang serius. serba salah.,0,True
jiaaaa d liat dr wajah expresi nya ini mah calon2 ini......hahaha,0,True
Itu namanya meritokrasi. Bukan sombong tapi faktaaa . Lu tinggal duduk manis gak usah bacot !,0,True
Yg penting optimis dulu.. Semoga lebih baik dan jangan pro koruptor ya pak.,0,True
"Maaf,jgn bawa2 nama PK jokowi...nanti pasti ada yg kpanasan",0,True
"Sepinter apapun manusia, tak mampu bs menyelesaikan semua msalah di muka bumi ini. Ini pesan Sunan Kalijogo pd Karebet, dlm film Jaka Tingkir.",0,True
"@MuchtarNuntji-mt8cq gpp sombong, yang penting jangan malas, itu sama saja jadi beban negara,",0,True
@GoAhead33 Masa S2 & S3 bidang ekonomi jadi menteri keuangan.. nggak nyambung-nya di mana ??? Pengalaman-nya juga seabreg di budang keuangan...,1,True
Optimis di kira sombong......pesimis di kira tidak mampu.....yg anda minta org seperti apa yg di inginkan...... Biarkan mereka bekerja dgn strateginya..masyarakat cukup mengamatiii.....memberi masukan jika memang berada di jalur yg salah...,0,True
"Hati hati pak menkeu, tagihan hutang negara menanti anda gak lama Lagi",0,True
"Semangat pak mentri, rakyat menanti perbuahan kearah lebih baik",0,True
Kayak ya bau bau krisis Ekonomi berulang lagi,1,True
"Bicara nya Waduh ""Menyejahterakan""",0,True
Husnudzon aja lah....semoga emang ekonomi bisa cepat membaik,0,True
Ini masih saudara sudewo bupati Pati bkn,0,True
"Kl melihat cara kerja kdm, jawabarat skrng jd keren, yg td nya smua nya serba amburadul.. bgitu jg mngkin keadaan ekonomi, yg awalnya kt mlihat sngat sulit, sbnernya ad orang2 yg mampu untuk menangani nya. Smoga saja pda keluar jd pemimpin orang2 cerdas yg kemampuanya komprehensif sesuai jabatan nya",0,True
@Cherrisekiss begitulah kebanyakan netizen +62,0,True
"Maaf pak yg penting dicoba dulu pak, jangan.omon omon dulu, dan tolong coba canangkan Pola Hidup Sederhana yg dimulai dari para pejabat sampai pejabat yang paling bawah",1,True
Asal jangan taunya pajakin masyarakat.,1,True
@Cherrisekiss itu lah kita yg jelas kita doakan semoga kedepannya lebih baik,0,True
Gw juga tau bener cara memperbaiki ekonomi negara ini.. ga susah kok... ganti para anggota DPR dan gw naik jd presiden,0,True
"@Cherrisekiss bedain antara optimis dan sombong.. Bpk itu bilang dia menguasai bidangnya,dan itu pernyataan yg sombong bukan pernyataan optimis.. Klo pernyataan optimis dia ngajak semua org buat pantau bersama kerjaan dia.",0,True
Seneng gue dgn orang optomis,0,True
mau lo gimana blok,0,True
Percaya diri itu harus,0,True
apa an sih lo bahas gubernur medsos ga nyambung lo @mamang3825,0,True
"@GoAhead33 gak nyambung gimana,, dia doktor ilmu ekonomi kocak",0,True
5:33 gw dah menteri keuangan?,0,True
sabar nanti ditengah tengah tugas melempem,0,True
"@DidinSehat salah lagi,orang oktimis, dukung,gitu..",0,True
Mungkin bener yah sprti tuntutan rakyat/mahasiswa agr pemerintah/dpr sahkan uu perampasan aset dan hukum mati koruptor jd salah satu syarat nkri bs maju,0,True
OMON-OMON,0,True
banyak buzzer yg belum bisa move on,0,True
Baru sejam di lantik uda di hujat,0,True
Ini lah tong kosong nyaring bunyinya,0,True
yg begitu tuh bukan sombong tapi menyebutkan prestasi dan pencapaian kepada publik karena menkeu yang baru ini tidak dikenal banyak masyarakat. klo yg gini ngga paham MASAK AJA DI DAPUR!!!,0,True
"Hati"" Pak Menteri Keuangan yg baru dilantik soalnya di sekitar anda bnyak tikus2 kantor yg berdasi,klo bapak di ajak mencuri uang rakyat sama anggota dewan/DPR jangan mau ya Pak,ingat ya Pak klo bapak itu karyawannya rakyat.",0,True
Keuangan nkri tambah tenggelam,0,True
@asikin_aja-c7o ini mah contohnya bos.. siapa tw ad orang2 ky kdm lg yg mampu mimpin baik di bidangnya masing2. Bgt bos,0,True
Beliau lagi meyakinkan pasar cok,0,True
"@Cherrisekiss Optimis memang perlu, hanya saja ini perkataan yang dikeluarkan dari mulut pejabat dan kebanyakan ketika menjabat tidak sesuai omongan yang dia lontarkan ketika awal menjabat, contoh paling dekat baru-baru ini Eben Ezer . Maka dari itu rakyat memiliki keraguan dan menuntut praktik daripada omongan belaka.",0,True
"Ini Mentri aspirasi demo , kita lihat aja jangan ada menyalahkan, karena ini kemuan rakyat , semuanya harus sesuai dengan aspirasi walau bukan bidangnya yang penting pintar ngomong. Tapi saya ragu ya....",0,True
"Menteri keuangan memang harus begitu , tetap optimis",0,True
"Kita lihat dulu kinerjanya, yg penting srimulyani sudah diganti..",0,True
Blum udh Bnyak momong,0,True
Udah bisa la si sri mulyani ditangkap.,0,True
"Sy percy pak purbaya mampu,krn dia tau kelemahan kebijakan bu sri kmrn",0,True
Buktikan pak..,1,True
Semoga bukan Mulyani jilid 2,0,True
Gw liat rekam jejak digital nya nih Mentri boleh juga Sederhana hidupnya... Hahah foto naik bajaj di jakarta bisa di liat di akun medsosnya,0,True
"@Cherrisekiss jelas, krn konoha, coba bkn",0,True
Menteri Keuangan memang harus optimis di Media soalnya dilihat Investor di seluruh Dunia,0,True
Resafel kyak gini dr zaman dulu sdh biasa hasilnya juga biasa,0,True
@Cherrisekiss akhirnya gini salah gitu salah emang rewel ya,0,True
Selamat pak..semoga amanah,1,True
Masa anda tidak tau mana yg sombong mana yg nggak,0,True
"Yg penting jgn mau d calling 2 , pengelolaan perusahaan negara harus jelas jgn bilang rugi rugi terus sementara yg d korupsi gajelas uangnya gimana",0,True
Didukung apa katanya mudah2an benar,0,True
@Cherrisekiss ini lah kalau hati penuh kebencian,0,True
Sippp...tp kalau omon2 doang tapuki wae,1,True
Harus optimislah.. Kalau ragu-ragu mnding jangan jadi mntri. Masa belum apa-apa udah pesimis.,0,True
"Ubur ubur ikan lele, jangan tak kabur le",1,True
Ini yg dinamakan optimistis dan percaya diri bos mantap,0,True
@Cherrisekiss itu karena menkau nya bukan dari Geng,0,True
Saya Percaya sama alumni ITB,0,True
"Cangkemu, orang optimis lu bilang sombong. Lu contoh salah satu manusia sensi.... Semua serba salah",0,True
@koosarumdaniel6687 ojok mangkelan taaa,0,True
"Ini bagus percaya diri,semangat pak,biar rakyat sejahtra",0,True
"iya, slow aja pak, buktikan dulu ah, nnti prank lahhhh...",0,True
Siapapun mentrinya kalau korupsi berjamaah masih ada.negara pasti hancur.sahkan UUD perampasan aset dan pemiskinan para koruptor.bila perlu hukum mati hanya itu obatnya.kalau ingin Indonesia maju.,0,True
@dedyprasetyo2020 ga ada benernya,0,True
"Memang dia hebat koq.. ,selamat bekerja menteri baru..",0,True
"Ternyata muridnya Mulyono juga... Semoga sesuai dg sombongnya, tdk mbual...",0,True
